id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price
417263,W13,2,2,No,0-499 sqft,Yes,No,17,2,363,474000
418538,W13,0,1,No,0-499 sqft,Yes,We,26,5,435,491000
309405,W10,1,1,No,500-999 sqft,N,No,6,4,462,643000
853540,W10,2,2,No,500-999 sqft,Yes,S,5,0,643,797000
839906,W10,1,1,No,500-999 sqft,N,E,5,12,480,706000
367605,W13,1,1,No,0-499 sqft,Yes,No,15,7,514,677000
728239,W10,1,1,No,0-499 sqft,Yes,E,8,34,322,433000
798021,W10,3,3,No,1500-1999 sqft,N,E,1,4,1376,1594000
226145,W10,1,1,No,500-999 sqft,Yes,S,0,14,711,954000
616690,W13,1,1,YES,0-499 sqft,Yes,No,29,10,590,621000
751569,W11,1,1,YES,500-999 sqft,N,S,1,12,600,506000
142938,W13,1,1,YES,500-999 sqft,Yes,We,5,1,513,659000
530508,W10,1,1,YES,0-499 sqft,Yes,S,19,4,424,579000
307990,W13,2,2,No,1000-1499 sqft,N,E,4,7,1328,2104000
879190,W13,1,1,YES,0-499 sqft,Yes,No,16,16,498,417000
207517,W10,1,1,YES,500-999 sqft,Yes,S,35,50,580,606000
663260,W13,1,1,No,0-499 sqft,N,S,5,4,479,423000
548273,W10,1,1,YES,500-999 sqft,N,No,20,7,592,717000
932983,W10,2,2,No,5500-3999 sqft,N,S,7,6,2399,3233000
400295,W10,1,1,No,500-999 sqft,Yes,S,5,1,463,476000
550120,W10,2,1,YES,500-999 sqft,N,No,34,1,980,822000
586668,W10,1,1,YES,0-499 sqft,N,S,21,5,442,634000
807145,W10,1,1,No,500-999 sqft,Yes,No,1,12,646,657000
302078,W10,1,1,YES,500-999 sqft,N,No,26,1,951,824000
801210,W10,2,1,No,500-999 sqft,Yes,No,3,5,899,1170000
837282,W10,2,2,YES,500-999 sqft,Yes,S,6,4,875,1151000
124059,W11,2,3,YES,1000-1499 sqft,Yes,S,5,7,1530,1631000
948888,W11,0,1,No,500-999 sqft,Yes,S,1,6,672,651000
567771,W10,1,1,YES,0-499 sqft,N,S,16,23,784,609000
127018,W11,1,2,No,500-999 sqft,Yes,S,7,16,431,643000
933426,W13,1,1,No,0-499 sqft,Yes,E,14,56,460,521000
249520,W11,2,2,No,2000-2499 sqft,Yes,No,15,20,1587,2345000
526656,W10,3,3,No,500-999 sqft,Yes,We,1,2,607,760000
772306,W10,1,1,No,500-999 sqft,Yes,No,11,4,482,668000
546887,W11,3,2,No,1000-1499 sqft,Yes,We,33,1,1053,1744000
966332,W10,1,1,YES,500-999 sqft,Yes,S,6,6,559,645000
230990,W13,1,1,YES,0-499 sqft,N,E,12,13,487,675000
771192,W11,0,1,No,500-999 sqft,Yes,E,9,13,446,552000
507456,W10,2,2,No,1000-1499 sqft,Yes,No,22,5,1504,1538000
154260,W10,3,2,No,1000-1499 sqft,Yes,No,34,4,1640,1708000
627604,W10,0,1,No,0-499 sqft,N,No,29,0,461,413000
707648,W13,1,1,No,500-999 sqft,Yes,No,12,6,997,907000
362330,W13,0,1,No,0-499 sqft,N,No,7,5,190,314000
930759,W11,1,1,YES,0-499 sqft,Yes,S,26,11,474,593000
800990,W10,1,1,YES,500-999 sqft,Yes,E,5,5,453,612000
321058,W13,1,1,No,500-999 sqft,Yes,S,6,5,332,540000
241211,W10,1,1,YES,500-999 sqft,Yes,No,30,19,541,783000
700515,W11,1,1,No,500-999 sqft,N,No,21,8,484,810000
597181,W10,3,2,No,1500-1999 sqft,Yes,We,2,6,1626,2207000
570353,W13,1,1,YES,500-999 sqft,Yes,S,13,29,560,564000
843629,W11,2,2,YES,500-999 sqft,Yes,We,4,8,721,1031000
524841,W13,1,1,No,0-499 sqft,N,No,17,11,277,352000
218226,W13,1,1,No,0-499 sqft,Yes,No,2,23,389,580000
105468,W13,3,2,No,1500-1999 sqft,N,S,6,2,1419,1856000
450286,W10,2,2,YES,1000-1499 sqft,Yes,E,7,0,770,1026000
869911,W11,3,2,No,500-999 sqft,Yes,We,21,5,1414,1169000
621816,W13,0,1,No,500-999 sqft,Yes,S,4,1,311,406000
862606,W13,3,2,No,500-999 sqft,N,S,31,7,741,960000
372044,W10,1,1,No,0-499 sqft,N,No,3,3,539,598000
504456,W13,3,2,No,1000-1499 sqft,Yes,S,29,31,880,1201000
617786,W10,0,1,No,0-499 sqft,N,S,28,25,568,446000
820361,W10,0,1,No,0-499 sqft,Yes,No,4,14,444,482000
893767,W13,2,3,No,1000-1499 sqft,Yes,E,1,6,883,1065000
641321,W13,1,1,No,0-499 sqft,N,S,15,20,305,408000
494165,W13,1,1,YES,0-499 sqft,Yes,We,26,14,425,573000
224153,W10,1,1,No,500-999 sqft,Yes,No,19,2,702,787000
284545,W13,1,1,No,0-499 sqft,N,S,10,12,412,453000
400534,W13,1,1,No,0-499 sqft,N,No,5,22,210,345000
667640,W10,0,1,No,500-999 sqft,Yes,E,11,2,519,510000
334557,W13,1,1,YES,0-499 sqft,Yes,S,40,10,385,505000
898550,W11,2,2,No,2000-2499 sqft,N,S,6,1,1773,2646000
914236,W10,2,2,No,0-499 sqft,Yes,No,26,21,459,539000
938686,W13,2,2,No,500-999 sqft,N,We,2,12,548,522000
215564,W13,2,2,No,1000-1499 sqft,Yes,We,4,3,1161,1308000
939189,W10,3,2,No,1500-1999 sqft,Yes,S,46,1,1472,2483000
815414,W13,2,1,No,1000-1499 sqft,N,We,13,16,826,976000
154436,W10,2,2,No,500-999 sqft,Yes,No,14,6,473,776000
792348,W10,2,2,No,1000-1499 sqft,N,E,13,17,809,1083000
427039,W10,1,1,No,500-999 sqft,Yes,No,4,6,737,830000
141368,W13,1,1,No,500-999 sqft,N,No,7,39,969,1076000
494661,W13,1,1,YES,0-499 sqft,N,S,5,5,299,398000
769657,W11,1,1,YES,500-999 sqft,Yes,No,32,9,464,731000
273527,W13,1,1,YES,500-999 sqft,N,S,19,5,761,608000
850779,W13,1,1,YES,0-499 sqft,Yes,No,26,4,1095,835000
234926,W11,2,2,No,1500-1999 sqft,N,We,9,1,1241,1799000
185873,W10,1,1,No,500-999 sqft,N,S,14,21,364,561000
281063,W11,3,3,No,500-999 sqft,N,E,2,1,596,671000
970586,W11,2,2,YES,2000-2499 sqft,Yes,S,27,24,1481,2239000
220076,W13,1,1,YES,0-499 sqft,N,No,5,37,366,476000
472650,W10,0,1,No,0-499 sqft,N,We,16,14,364,494000
547069,W10,2,3,No,500-999 sqft,Yes,No,10,14,1136,759000
140285,W13,2,3,No,500-999 sqft,Yes,No,0,6,1124,918000
713736,W13,1,1,No,0-499 sqft,N,S,33,15,559,574000
368271,W13,1,1,No,0-499 sqft,Yes,No,3,13,401,534000
354525,W11,2,2,No,500-999 sqft,Yes,No,17,4,493,758000
354222,W10,1,1,No,0-499 sqft,N,No,13,4,445,572000
378184,W13,1,1,YES,0-499 sqft,N,No,4,10,410,534000
779023,W13,2,2,YES,2000-2499 sqft,N,S,24,0,791,1354000
315853,W13,1,1,YES,500-999 sqft,Yes,No,9,10,536,611000
396994,W13,2,3,No,500-999 sqft,Yes,No,5,17,483,781000
559777,W13,1,2,No,500-999 sqft,N,S,15,1,807,727000
992515,W10,2,2,No,500-999 sqft,N,S,0,9,542,858000
818968,W10,1,1,YES,500-999 sqft,N,We,3,19,904,589000
939473,W10,1,1,YES,500-999 sqft,Yes,No,28,15,453,697000
935524,W13,2,2,YES,1000-1499 sqft,Yes,E,24,4,1772,1455000
565517,W13,1,1,YES,0-499 sqft,Yes,S,2,0,309,401000
198062,W10,1,1,YES,0-499 sqft,Yes,No,10,4,315,494000
900507,W10,1,1,No,500-999 sqft,Yes,No,35,4,786,736000
112904,W13,2,2,YES,1500-1999 sqft,N,No,16,16,1737,2031000
308694,W13,2,2,No,500-999 sqft,N,No,28,16,546,564000
515773,W10,1,1,No,0-499 sqft,N,S,6,31,432,504000
771372,W13,1,1,No,500-999 sqft,Yes,S,22,2,343,544000
421897,W11,2,2,No,2000-2499 sqft,Yes,No,10,3,1623,2525000
904562,W11,3,2,No,500-999 sqft,Yes,E,6,6,1056,1297000
526661,W10,1,1,YES,0-499 sqft,Yes,S,7,0,640,521000
241254,W11,1,1,YES,500-999 sqft,N,S,13,5,561,908000
981429,W10,2,2,No,1000-1499 sqft,N,No,15,10,1351,1120000
162615,W13,2,2,YES,500-999 sqft,Yes,No,0,5,737,977000
408288,W11,1,1,No,0-499 sqft,N,S,1,1,244,454000
276671,W10,1,1,YES,500-999 sqft,N,S,30,52,545,640000
135167,W10,2,2,No,500-999 sqft,N,E,2,8,986,966000
340278,W11,1,1,No,500-999 sqft,Yes,We,2,6,583,650000
807131,W13,1,1,No,0-499 sqft,N,No,29,7,359,324000
679679,W13,1,1,No,500-999 sqft,Yes,S,2,18,352,411000
356158,W11,2,2,No,2500-2999 sqft,Yes,We,74,0,3417,2966000
555447,W10,2,3,No,500-999 sqft,Yes,No,1,2,770,1048000
834000,W13,2,1,YES,500-999 sqft,Yes,S,13,13,1152,947000
144041,W11,1,1,YES,500-999 sqft,Yes,E,0,11,489,653000
929944,W11,1,1,No,1000-1499 sqft,N,We,3,31,771,1095000
106356,W13,1,1,No,0-499 sqft,N,No,2,24,421,597000
868256,W10,2,2,No,500-999 sqft,Yes,No,26,4,519,904000
518086,W11,1,2,No,500-999 sqft,N,No,23,3,585,727000
559597,W11,2,2,No,1000-1499 sqft,N,S,11,3,702,881000
882802,W10,2,2,YES,500-999 sqft,N,No,2,9,519,652000
803728,W10,1,1,YES,0-499 sqft,N,E,16,12,505,544000
696726,W13,0,1,No,0-499 sqft,Yes,S,1,7,261,355000
843875,W10,2,3,No,500-999 sqft,N,We,1,8,521,623000
829112,W10,1,1,YES,0-499 sqft,N,E,26,1,660,464000
520333,W10,1,1,No,0-499 sqft,Yes,S,36,37,269,466000
116675,W13,1,2,YES,500-999 sqft,Yes,E,36,3,527,657000
675754,W10,1,1,No,0-499 sqft,Yes,We,6,6,512,473000
522708,W10,1,1,No,1000-1499 sqft,Yes,No,12,8,930,1127000
126312,W13,2,2,YES,1000-1499 sqft,N,No,18,1,1103,1203000
851075,W11,1,1,YES,500-999 sqft,N,S,14,1,523,756000
386877,W13,3,2,No,500-999 sqft,Yes,We,6,9,568,672000
329530,W10,1,1,YES,500-999 sqft,Yes,S,6,5,469,530000
822163,W13,1,1,YES,0-499 sqft,Yes,S,3,9,669,792000
408636,W13,1,1,No,500-999 sqft,N,No,2,3,343,591000
188753,W10,1,1,No,500-999 sqft,Yes,No,7,17,755,936000
926305,W10,1,1,No,500-999 sqft,N,S,12,22,340,500000
748835,W10,1,1,No,500-999 sqft,Yes,S,11,8,449,547000
712774,W13,2,2,No,500-999 sqft,N,E,23,6,708,791000
832983,W10,0,1,No,0-499 sqft,Yes,No,1,3,310,447000
934253,W13,2,2,No,500-999 sqft,Yes,No,0,19,388,569000
377895,W10,3,3,No,2000-2499 sqft,Yes,No,25,2,1914,2523000
460670,W13,1,1,YES,500-999 sqft,Yes,No,9,46,438,506000
119381,W13,1,1,No,0-499 sqft,Yes,S,2,2,338,457000
556042,W10,2,2,No,500-999 sqft,Yes,S,38,2,682,673000
517573,W11,1,1,No,500-999 sqft,Yes,We,10,15,402,716000
614193,W10,1,1,YES,500-999 sqft,Yes,E,7,7,822,980000
864757,W10,3,2,No,1500-1999 sqft,Yes,No,55,5,1366,1781000
539410,W10,2,2,No,0-499 sqft,N,S,3,1,370,550000
903968,W13,1,2,YES,1000-1499 sqft,N,We,22,16,782,928000
357081,W11,2,2,No,1000-1499 sqft,Yes,S,1,7,1132,1432000
985486,W11,1,1,YES,500-999 sqft,Yes,S,1,20,507,775000
259988,W13,3,2,No,1500-1999 sqft,N,No,6,47,656,1079000
433801,W10,0,1,No,500-999 sqft,Yes,S,15,4,438,510000
674716,W13,3,2,No,1000-1499 sqft,N,S,31,3,836,1149000
234126,W11,1,1,YES,500-999 sqft,N,No,33,2,522,600000
995816,W11,1,1,YES,0-499 sqft,Yes,No,4,8,519,681000
922563,W10,1,1,YES,500-999 sqft,N,S,13,4,652,764000
175087,W10,1,1,YES,500-999 sqft,Yes,No,24,13,933,958000
383485,W11,2,2,No,500-999 sqft,N,S,1,1,592,656000
914285,W13,2,1,YES,500-999 sqft,Yes,We,19,2,909,1105000
157791,W11,1,1,YES,500-999 sqft,Yes,No,19,12,419,575000
772358,W10,2,2,YES,1000-1499 sqft,Yes,No,8,29,908,1604000
739283,W10,1,1,No,0-499 sqft,Yes,E,33,3,439,530000
849790,W11,1,1,No,500-999 sqft,Yes,No,35,9,360,520000
265350,W10,2,2,No,500-999 sqft,Yes,S,15,11,414,557000
242699,W10,1,1,No,500-999 sqft,N,No,26,2,363,478000
961047,W13,1,1,No,0-499 sqft,N,E,11,7,306,390000
166855,W10,2,3,No,500-999 sqft,N,No,12,3,829,1074000
907159,W10,1,1,YES,500-999 sqft,Yes,No,7,25,701,761000
607121,W11,1,1,YES,500-999 sqft,Yes,S,0,16,796,832000
446668,W10,1,1,No,500-999 sqft,N,E,5,3,1102,991000
739635,W10,2,2,No,1500-1999 sqft,N,No,38,1,1234,1629000
981516,W11,2,1,No,0-499 sqft,N,We,87,9,576,667000
628366,W10,1,1,No,500-999 sqft,Yes,S,2,33,511,652000
612949,W10,1,1,No,500-999 sqft,N,E,7,0,859,764000
766787,W13,1,1,No,0-499 sqft,Yes,S,4,15,423,417000
627015,W13,1,1,YES,500-999 sqft,Yes,No,2,3,516,660000
766952,W10,1,1,YES,500-999 sqft,Yes,We,10,2,365,622000
749943,W10,1,1,No,0-499 sqft,Yes,S,0,3,370,438000
496311,W10,1,1,No,500-999 sqft,Yes,E,3,5,507,621000
977924,W10,1,1,No,1000-1499 sqft,Yes,S,7,3,871,1063000
955028,W11,2,2,No,2500-2999 sqft,Yes,E,8,10,2235,2526000
749722,W11,2,3,No,0-499 sqft,Yes,S,20,8,458,563000
862768,W13,3,2,No,1000-1499 sqft,N,S,3,6,666,927000
510958,W13,3,2,No,500-999 sqft,N,S,5,9,407,585000
276127,W13,1,1,No,500-999 sqft,Yes,No,5,16,1381,774000
144990,W10,1,1,No,500-999 sqft,Yes,S,2,12,453,627000
194238,W10,2,2,YES,1000-1499 sqft,Yes,We,3,2,1232,1239000
641199,W11,3,3,No,500-999 sqft,Yes,S,6,10,545,694000
157501,W13,2,2,No,500-999 sqft,N,No,34,5,940,874000
511328,W10,1,1,No,1000-1499 sqft,Yes,E,5,9,666,861000
541145,W10,1,1,No,0-499 sqft,Yes,S,37,1,332,480000
329943,W13,2,3,YES,500-999 sqft,Yes,S,21,9,477,767000
684013,W13,2,1,No,1000-1499 sqft,Yes,No,25,3,1648,2050000
323763,W11,1,1,No,500-999 sqft,Yes,No,28,9,603,702000
167758,W10,1,1,YES,500-999 sqft,Yes,No,13,6,482,736000
280974,W10,2,2,No,500-999 sqft,Yes,No,11,2,531,678000
151701,W10,1,1,YES,0-499 sqft,N,No,6,1,386,509000
539181,W10,2,2,YES,500-999 sqft,Yes,We,1,7,529,686000
809522,W10,2,2,YES,1500-1999 sqft,N,S,0,10,1198,1318000
712460,W10,1,1,No,0-499 sqft,Yes,No,47,4,460,543000
871944,W13,1,1,No,0-499 sqft,Yes,S,20,22,271,412000
590765,W13,1,1,YES,500-999 sqft,Yes,S,1,8,509,846000
375866,W11,1,1,YES,500-999 sqft,N,S,20,1,1028,901000
259305,W10,1,1,No,1000-1499 sqft,N,We,4,23,618,739000
433368,W11,2,2,No,5500-3999 sqft,N,No,6,3,1805,3077000
278892,W10,1,1,No,0-499 sqft,N,We,4,1,417,474000
557918,W13,3,2,No,500-999 sqft,N,We,7,3,1334,1067000
370435,W10,1,1,YES,500-999 sqft,N,E,7,14,374,613000
130408,W11,0,1,No,0-499 sqft,N,No,15,13,554,522000
369469,W10,1,1,No,500-999 sqft,Yes,No,7,4,353,529000
458332,W10,1,1,YES,500-999 sqft,Yes,We,18,0,435,664000
981454,W10,1,1,YES,1000-1499 sqft,Yes,No,5,3,636,982000
459379,W10,3,3,No,500-999 sqft,Yes,S,31,1,674,820000
493253,W10,1,1,YES,0-499 sqft,N,No,25,11,459,603000
806640,W13,1,1,No,0-499 sqft,Yes,No,62,24,424,467000
260150,W11,1,1,YES,500-999 sqft,Yes,S,3,6,528,695000
417938,W10,1,1,No,500-999 sqft,Yes,E,14,6,643,731000
665821,W10,1,1,YES,500-999 sqft,N,We,9,4,470,722000
144555,W10,1,1,No,0-499 sqft,N,S,5,7,393,454000
283441,W11,3,2,No,1500-1999 sqft,Yes,S,9,2,1783,2318000
669141,W13,1,1,YES,500-999 sqft,Yes,No,3,5,376,546000
182176,W13,1,1,No,0-499 sqft,N,S,7,1,672,409000
751030,W10,1,1,No,1000-1499 sqft,Yes,No,14,18,1120,980000
940661,W13,1,1,YES,500-999 sqft,N,E,8,12,882,670000
656741,W10,2,1,YES,2000-2499 sqft,Yes,S,2,3,1519,2165000
560058,W13,1,1,YES,0-499 sqft,N,No,4,9,527,481000
717684,W10,1,1,YES,500-999 sqft,N,E,44,3,606,650000
229065,W10,2,2,YES,500-999 sqft,Yes,We,2,2,450,761000
358897,W13,2,2,No,1000-1499 sqft,Yes,S,1,1,1235,1775000
243224,W13,1,1,No,0-499 sqft,N,We,2,0,234,318000
258502,W10,2,2,No,500-999 sqft,N,S,2,5,1437,1120000
361442,W10,2,2,No,1000-1499 sqft,Yes,We,40,6,1240,1385000
198242,W13,2,3,No,500-999 sqft,N,We,4,12,898,848000
593283,W10,1,1,YES,1500-1999 sqft,Yes,S,0,2,862,906000
357429,W13,1,1,No,0-499 sqft,N,S,18,9,263,385000
125115,W13,1,1,No,0-499 sqft,Yes,No,2,4,324,368000
201662,W13,1,1,YES,500-999 sqft,N,No,24,18,502,671000
934034,W10,1,1,No,500-999 sqft,Yes,We,40,14,503,588000
789768,W10,1,1,YES,500-999 sqft,N,We,14,8,515,641000
433305,W11,1,1,YES,500-999 sqft,Yes,No,12,11,717,648000
694480,W13,1,1,No,0-499 sqft,N,No,6,4,385,431000
497211,W10,1,1,No,0-499 sqft,N,No,13,3,525,509000
953003,W11,1,1,YES,500-999 sqft,N,S,11,9,356,561000
765895,W13,2,2,YES,500-999 sqft,Yes,We,3,0,406,661000
174047,W13,2,2,No,500-999 sqft,N,E,13,11,578,632000
356467,W11,1,1,YES,500-999 sqft,Yes,S,15,0,420,741000
581161,W10,1,1,No,500-999 sqft,Yes,We,12,2,401,583000
778093,W11,2,1,No,500-999 sqft,N,No,2,24,773,1027000
261974,W11,2,2,No,500-999 sqft,Yes,No,34,19,938,867000
346750,W11,0,1,No,500-999 sqft,Yes,We,25,4,399,555000
862495,W13,2,1,No,500-999 sqft,Yes,S,11,15,459,680000
310258,W10,3,3,YES,500-999 sqft,Yes,E,3,7,1043,1238000
966290,W10,1,2,YES,1000-1499 sqft,Yes,No,1,4,447,694000
898362,W11,2,2,No,500-999 sqft,Yes,S,10,16,483,609000
937005,W10,2,2,YES,1000-1499 sqft,N,No,14,4,1658,1348000
456698,W10,2,2,No,500-999 sqft,N,S,14,16,589,834000
880974,W10,0,1,No,0-499 sqft,Yes,We,18,6,545,475000
551143,W13,2,2,No,1500-1999 sqft,Yes,S,17,5,1055,1639000
794136,W10,1,1,No,500-999 sqft,N,No,4,0,411,715000
467030,W10,2,2,No,500-999 sqft,N,We,6,2,904,798000
464401,W11,2,3,YES,1000-1499 sqft,N,No,14,0,1366,1043000
829563,W10,2,2,No,500-999 sqft,Yes,S,35,10,497,664000
337450,W13,2,2,YES,1500-1999 sqft,N,E,5,1,992,1453000
906967,W10,0,1,No,500-999 sqft,N,We,11,12,453,550000
404427,W13,1,1,No,0-499 sqft,N,No,9,4,272,443000
355033,W13,2,3,No,1000-1499 sqft,Yes,E,20,2,1069,1481000
461650,W10,3,2,No,500-999 sqft,N,S,9,21,1488,1277000
657511,W10,3,2,No,1500-1999 sqft,Yes,We,28,18,2747,3017000
565148,W13,2,2,YES,1500-1999 sqft,Yes,S,5,2,1485,1698000
846840,W11,2,3,No,500-999 sqft,Yes,S,21,17,957,1174000
829889,W13,1,1,YES,500-999 sqft,N,E,19,0,665,829000
244530,W11,1,1,No,0-499 sqft,N,S,7,20,379,509000
851396,W13,2,2,YES,1000-1499 sqft,Yes,No,37,13,936,1520000
141756,W13,1,2,YES,0-499 sqft,N,We,17,8,245,381000
542374,W13,1,1,No,500-999 sqft,N,We,44,22,645,597000
600292,W13,2,2,YES,1500-1999 sqft,N,S,17,1,2061,2305000
899088,W13,0,1,No,0-499 sqft,N,E,16,3,252,349000
364962,W10,1,1,No,500-999 sqft,N,S,5,7,409,454000
838787,W10,1,1,YES,500-999 sqft,N,We,5,11,605,743000
576814,W10,1,1,YES,500-999 sqft,Yes,No,21,29,592,576000
975998,W10,1,1,No,0-499 sqft,N,No,15,5,338,525000
858482,W10,2,2,YES,500-999 sqft,Yes,E,14,28,755,983000
514113,W10,1,1,No,500-999 sqft,Yes,No,24,25,337,463000
946458,W13,1,1,No,0-499 sqft,N,S,5,42,354,341000
196510,W10,2,2,YES,1500-1999 sqft,Yes,S,7,1,1201,1861000
259700,W11,1,1,No,500-999 sqft,N,No,3,1,542,590000
186928,W10,1,2,No,0-499 sqft,Yes,We,7,4,391,530000
372200,W10,3,3,YES,2000-2499 sqft,Yes,S,18,8,1827,2078000
678918,W11,2,2,YES,1000-1499 sqft,Yes,No,5,9,1165,1343000
941566,W13,1,1,YES,0-499 sqft,N,S,9,3,309,429000
378703,W13,2,2,No,500-999 sqft,Yes,E,22,12,435,607000
667061,W13,2,2,YES,1000-1499 sqft,Yes,S,22,3,746,1096000
533006,W11,3,3,No,1000-1499 sqft,Yes,E,12,3,1266,1467000
565999,W13,1,1,No,0-499 sqft,Yes,We,0,10,630,503000
670114,W10,1,1,No,1000-1499 sqft,Yes,E,15,12,703,980000
150239,W10,1,1,No,0-499 sqft,N,No,25,7,487,563000
627276,W11,2,2,No,1000-1499 sqft,N,S,20,9,1201,1426000
272344,W10,1,1,No,500-999 sqft,N,We,12,11,545,517000
662078,W11,3,2,No,1500-1999 sqft,Yes,E,6,1,1147,1538000
355407,W10,1,1,YES,0-499 sqft,N,S,3,2,841,636000
254226,W10,1,1,No,500-999 sqft,Yes,No,28,2,937,870000
634738,W10,2,3,YES,1500-1999 sqft,N,E,8,2,1008,1495000
757092,W11,2,3,No,1000-1499 sqft,Yes,We,14,24,1221,1494000
716049,W10,3,3,No,1500-1999 sqft,Yes,No,17,3,1749,2035000
619704,W10,1,1,YES,500-999 sqft,N,No,1,2,710,830000
962754,W13,2,2,No,500-999 sqft,Yes,No,5,5,320,434000
358267,W10,1,1,YES,500-999 sqft,Yes,S,9,11,845,833000
475660,W13,2,2,YES,1000-1499 sqft,N,S,3,10,1265,1434000
557172,W13,1,1,YES,500-999 sqft,N,No,8,3,651,692000
649266,W11,2,1,YES,2000-2499 sqft,Yes,No,2,4,2079,2168000
346987,W13,1,1,No,0-499 sqft,N,No,6,3,424,434000
494284,W10,3,2,No,2500-2999 sqft,N,We,32,22,3070,3225000
394172,W13,1,1,No,500-999 sqft,N,We,1,0,418,612000
947301,W10,1,1,YES,500-999 sqft,Yes,No,6,4,824,712000
322281,W13,1,1,No,500-999 sqft,N,No,4,32,472,400000
643810,W10,2,2,No,0-499 sqft,N,We,40,22,313,534000
219636,W10,2,1,YES,2500-2999 sqft,N,No,1,8,1742,2445000
426464,W10,2,2,YES,500-999 sqft,Yes,E,1,0,1069,1473000
431436,W11,0,1,No,0-499 sqft,Yes,No,12,1,538,508000
243436,W11,0,1,No,500-999 sqft,Yes,We,44,16,562,525000
489299,W13,0,1,No,0-499 sqft,N,S,6,3,257,381000
810904,W10,2,2,YES,500-999 sqft,Yes,No,36,2,628,820000
184975,W10,2,2,No,1000-1499 sqft,Yes,No,3,18,882,1089000
857294,W10,2,1,YES,1000-1499 sqft,Yes,S,1,1,796,1024000
370407,W13,1,1,YES,500-999 sqft,Yes,We,3,2,560,654000
568995,W10,1,1,No,500-999 sqft,Yes,No,14,9,541,553000
719246,W13,2,3,No,500-999 sqft,N,E,23,2,717,1032000
859229,W13,2,2,No,0-499 sqft,Yes,S,12,0,864,789000
621451,W13,1,1,YES,500-999 sqft,N,No,1,13,483,764000
478071,W13,3,2,No,1500-1999 sqft,N,No,53,1,1225,1701000
399834,W10,3,3,No,1000-1499 sqft,N,S,22,9,1420,1342000
562727,W10,1,2,No,500-999 sqft,N,S,4,2,400,564000
282133,W13,1,1,No,500-999 sqft,Yes,E,3,5,441,653000
539383,W10,2,1,YES,500-999 sqft,Yes,S,16,3,698,900000
335919,W13,2,2,YES,500-999 sqft,Yes,E,35,29,724,1025000
870299,W10,1,1,No,0-499 sqft,N,S,2,9,308,450000
382100,W10,1,1,YES,500-999 sqft,N,E,9,2,946,1108000
280143,W11,2,1,YES,1000-1499 sqft,Yes,We,8,29,805,1126000
831073,W10,1,1,No,0-499 sqft,N,No,29,9,411,527000
667211,W10,1,1,YES,500-999 sqft,N,E,28,39,366,585000
